Study_ID,Species,subspecies,AUTHORS,TITLE,JOURNAL,YEAR,VOLUME,NUMBER,PAGES,PUBLISHER,ADDRESS,ISSN,DOI_OR_LINK,type
684,Ctenomys minutus,NA,"Kubiak, BB; Galiano, D; de Freitas, TRO","Can the environment influence species home-range size? A case study on Ctenomys minutus (Rodentia, Ctenomyidae)",Journal Of Zoology,2017,302,3,171-177,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1111/jzo.12444,Article
707,Ursus arctos,NA,"Bischof, R; Steyaert, SMJG; Kindberg, J",Caught in the mesh: roads and their network-scale impediment to animal movement,Ecography,2017,40,12,1369-1380,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0906-7590,10.1111/ecog.02801,Article
710,Odocoileus virginianus,NA,"DINKINES, WC; LOCHMILLER, RL; BARTUSH, WS; DEYOUNG, CA; QUALLS, CW; FULTON, RW",CAUSE-SPECIFIC MORTALITY OF WHITE-TAILED DEER AS INFLUENCED BY MILITARY TRAINING ACTIVITIES IN SOUTHWESTERN OKLAHOMA,Journal Of Wildlife Diseases,1992,28,3,391-399,"WILDLIFE DISEASE ASSN, INC","810 EAST 10TH ST, LAWRENCE, KS 66044-8897",0090-3558,10.7589/0090-3558-28.3.391,Article
720,Chaetodipus fallax,NA,"Lackey, J. A.",Chaetodipus fallax Mammalian Species 517:1-6.,Mammalian Species,1996,NA,517,1--6,"[American Society of Mammalogists, Oxford University Press]",NA,"00763519, 15451410",NA,Article
721,Chaetodipus nelsoni,NA,"Best, T. L.",Chaetodipus nelsoni Mammalian Species 484:1-6.,Mammalian Species,1994,NA,484,01/Jun,NA,NA,0076-3519,10.2307/3504142,Article
775,Acinonyx jubatus,NA,"Weise, FJ; Lemeris, JR; Munro, SJ; Bowden, A; Venter, C; van Vuuren, M; van Vuuren, RJ",Cheetahs (Acinonyx jubatus) running the gauntlet: an evaluation of translocations into free-range environments in Namibia,Peerj,2015,3,NA,NA,PEERJ INC,"341-345 OLD ST, THIRD FLR, LONDON, EC1V 9LL, ENGLAND",2167-8359,10.7717/peerj.1346,Article
807,Canis latrans,NA,"Mueller, MA; Drake, D; Allen, ML",Coexistence of coyotes (Canis latrans) and red foxes (Vulpes vulpes) in an urban landscape,Plos One,2018,13,1,NA,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",1932-6203,10.1371/journal.pone.0190971,Article
821,Ursus arctos,NA,"Pop, MI; Iosif, R; Miu, IV; Rozylowicz, L; Popescu, VD",Combining resource selection functions and home-range data to identify habitat conservation priorities for brown bears,Animal Conservation,2018,21,4,352-362,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1367-9430,10.1111/acv.12399,Article
820,Lynx canadensis,NA,"Squires, JR; DeCesare, NJ; Olson, LE; Kolbe, JA; Hebblewhite, M; Parks, SA",Combining resource selection and movement behavior to predict corridors for Canada lynx at their southern range periphery,Biological Conservation,2013,157,NA,187-195,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0006-3207,10.1016/j.biocon.2012.07.018,Article
842,Macaca assamensis,NA,"Khatiwada, S; Paudel, PK; Chalise, MK; Ogawa, H","Comparative ecological and behavioral study of Macaca assamensis and M. mulatta in Shivapuri Nagarjun National Park, Nepal",Primates,2020,61,4,603-621,SPRINGER JAPAN KK,"SHIROYAMA TRUST TOWER 5F, 4-3-1 TORANOMON, MINATO-KU, TOKYO, 105-6005",0032-8332,10.1007/s10329-020-00810-9,Article
847,Petrodromus tetradactylus,NA,"FitzGibbon, C. D.",Comparative ecology of two elephant-shrew species in a Kenyan coastal forest Mammal Review 25:19-30.,Mammal Review,1995,25,01/Feb,19-30,BLACKWELL SCIENCE LTD,"OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0EL",0305-1838,10.1111/j.1365-2907.1995.tb00434.x,Article
862,Nasua nasua,NA,"Hirsch, BT; Tujague, MP; Di Blanco, YE; Di Bitetti, MS; Janson, CH",Comparing capuchins and coatis: causes and consequences of differing movement ecology in two sympatric mammals,Animal Behaviour,2013,86,2,331-338,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0003-3472,NA,Article
863,Odocoileus virginianus,NA,"Kochanny, CO; Delgiudice, GD; Fieberg, J",Comparing Global Positioning System and Very High Frequency Telemetry Home Ranges of White-Tailed Deer,Journal Of Wildlife Management,2009,73,5,779-787,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.2193/2008-394,Article
874,Panthera uncia,NA,"Janecka, JE; Munkhtsog, B; Jackson, RM; Naranbaatar, G; Mallon, DP; Murphy, WJ",Comparison of noninvasive genetic and camera-trapping techniques for surveying snow leopards,Journal Of Mammalogy,2011,92,4,771-783,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1644/10-MAMM-A-036.1,Article
891,Lynx lynx,NA,"Wikenros, C; Liberg, O; Sand, H; Andren, H",Competition between recolonizing wolves and resident lynx in Sweden,Canadian Journal Of Zoology,2010,88,3,271-279,"CANADIAN SCIENCE PUBLISHING, NRC RESEARCH PRESS","65 AURIGA DR, SUITE 203, OTTAWA, ON K2E 7W6, CANADA",0008-4301,10.1139/Z09-143,Article
912,Lycalopex griseus,NA,"Silva-Rodriguez, EA; Ortega-Solis, GR; Jimenez, JE",Conservation and ecological implications of the use of space by chilla foxes and free-ranging dogs in a human-dominated landscape in southern Chile,Austral Ecology,2010,35,7,765-777,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1442-9985,10.1111/j.1442-9993.2009.02083.x,Article
921,Ursus arctos,NA,"Preatoni, D; Mustoni, A; Martinoli, A; Carlini, E; Chiarenzi, B; Chiozzini, S; Van Dongen, S; Wauters, LA; Tosi, G",Conservation of brown bear in the Alps: space use and settlement behavior of reintroduced bears,Acta Oecologica-International Journal Of Ecology,2005,28,3,189-197,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",1146-609X,10.1016/j.actao.2005.04.002,Article
922,Lepus europaeus,NA,"Smith, RK; Jennings, NV; Robinson, A; Harris, S",Conservation of European hares Lepus europaeus in Britain: is increasing habitat heterogeneity in farmland the answer?,Journal Of Applied Ecology,2004,41,6,1092-1102,WILEY-BLACKWELL,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0021-8901,10.1111/j.0021-8901.2004.00976.x,Article
954,Vulpes vulpes,NA,"Burrows, ND; Algar, D; Robinson, AD; Sinagra, J; Ward, B; Liddelow, G",Controlling introduced predators in the Gibson Desert of Western Australia,Journal Of Arid Environments,2003,55,4,691-713,ACADEMIC PRESS LTD ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0140-1963,10.1016/S0140-1963(02)00317-8,Article
1002,Panthera onca,NA,"Salom-Perez, R; Carrillo, E; Saenz, JC; Mora, JM","Critical condition of the jaguar Panthera onca population in Corcovado National Park, Costa Rica",Oryx,2007,41,1,51-56,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA",0030-6053,10.1017/S0030605307001615,Article
1004,Odocoileus virginianus,NA,"Walter, WD; Vercauteren, KC; Gilsdorf, JM; Hygnstrom, SE","Crop, Native Vegetation, and Biofuels: Response of White-Tailed Deer to Changing Management Priorities",Journal Of Wildlife Management,2009,73,3,339-344,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197 USA",0022-541X,10.2193/2008-162,Article
1018,Leontopithecus rosalia,NA,"Lapenta, MJ; de Oliveira, PP; Nogueira-Neto, P","Daily activity period, home range and sleeping sites of golden lion tamarins (Leontopithecus rosalia) translocated to the Uniao Biological Reserve, RJ-Brazil",Mammalia,2007,71,3,131-137,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY",0025-1461,10.1515/MAMM.2007.027,Article
1043,Dasyurus maculatus,NA,"Jones, M. E., R. K. Rose, and S. Burnett.",Dasyurus maculatus Mammalian Species 676:1-9.,Mammalian Species,2001,NA,676,01/Sep,NA,NA,0076-3519,10.2307/0.676.1,Article
1047,Psammomys obesus,NA,"Gromov, VS","Daytime activities and social interactions in a colony of the fat sand rats, Psammomys obesus, at the Negev Highlands, Israel",Mammalia,2001,65,1,13-28,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY",0025-1461,10.1515/mamm.2001.65.1.13,Article
1083,Puma concolor,NA,"Kertson, BN; Spencer, RD; Grue, CE",Demographic influences on cougar residential use and interactions with people in western Washington,Journal Of Mammalogy,2013,94,2,269-281,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1644/12-MAMM-A-051.1,Article
